date,dailycase,acccase,dailyvaccine,accvaccine,Mnuminter,Cnuminter,Mnumvac,Cnumvac,Mscore,Cscore
2021-01-01,0.20619146062681667,0.0,0.06567481235624048,0.0,0.15738598721168698,0.5137038470061269,0.1793539125506829,0.17961161045529275,0.5054762308394198,0.46259270429095944
2021-01-02,0.19634346950073606,0.0009446478578813733,0.1080357087731303,0.0005876539689015119,0.15738598721168698,0.44507352735045547,0.13562468699936384,0.10353118005063097,0.5079825666327644,0.4637079639903236
2021-01-03,0.2008528613574379,0.001988595904945643,0.09248104156259873,0.0007828862200186669,0.17664323807115925,0.42227294654894587,0.12109682605433778,0.05164952101531208,0.5105148064570423,0.464831661192567
2021-01-04,0.20054949110038586,0.0030592567530428934,0.0847424976511248,0.0008800154821081244,0.19757874513669038,0.38073902072061266,0.21966985939936778,0.15134232334732614,0.5130686716824645,0.46596270313923005
2021-01-05,0.204338919073539,0.004194737446421289,0.08013018684077208,0.0009379062624230812,0.2417712872559786,0.3623082817036686,0.3993094679138955,0.2633416158150633,0.51564030194945,0.46710075036615895
2021-01-06,0.2105478909464746,0.00541223537885208,0.07708076310849925,0.0009761806820428472,0.2543940897616437,0.4107919593035103,0.4056224307529212,0.35267504697944757,0.5182258233168946,0.4682458036728278
2021-01-07,0.21837479227532186,0.006722276182575445,0.07492418013917664,0.0010032487344880131,0.2484471692747743,0.40058994779030355,0.40378750566502886,0.37475275385613804,0.5208208846458432,0.46939786888160906
2021-01-08,0.22228759933379516,0.00808712240846238,0.07332538044176527,0.00102331584745072,0.2508373251774142,0.4065844300942895,0.4254635622973072,0.391120234994634,0.5234208256421614,0.4705568808873317
2021-01-09,0.22102208825470832,0.009461940278913632,0.1201170516003818,0.0017048631237267067,0.21902261330151246,0.3608604005915227,0.3886585164333551,0.33394812586401085,0.5260208697289567,0.47172275722650914
2021-01-10,0.21347897535420304,0.010794407801077422,0.111918522103189,0.0022420782936885117,0.239356913978257,0.34450536984966285,0.3847343584219081,0.31070638394377026,0.5286162231335814,0.47289550387936113
2021-01-11,0.21043161689883708,0.012129574495276435,0.10531987652145851,0.0026744597968496367,0.2257893927624658,0.32388053080618595,0.3910843094230045,0.37471348354124046,0.5312023379417815,0.474075524038259
2021-01-12,0.20677954859937098,0.013462853466119562,0.09991910258641121,0.0030283498070563667,0.23075971705788598,0.3782331649665422,0.394012143914674,0.38761815022402296,0.5337750261071361,0.4752637685477023
2021-01-13,0.20628067755185434,0.014822756356072251,0.09543775675096504,0.0033219935593257395,0.23659966277512748,0.41648995351490364,0.41170176420625026,0.39832592562662383,0.5363305161102736,0.47646153341822056
2021-01-14,0.20403982812961144,0.01619266040728673,0.09167684392896354,0.0035684303650449674,0.2365305235660057,0.40564803495328094,0.44759793006040133,0.407312290724408,0.5388654799444805,0.4776703911225048
2021-01-15,0.2026153502560908,0.017579286477129287,0.08849034562658796,0.0037772282022278223,0.23647194417772385,0.3740340004718236,0.4698455854767815,0.539239590296942,0.5413769924367858,0.4788921904343205
2021-01-16,0.1991680039421472,0.018963685578143385,0.17780618579802246,0.005232363477031681,0.27083045500499425,0.37198227328976213,0.455065030018249,0.4704090455814025,0.5438624403109437,0.48012889016601273
2021-01-17,0.19191153055798113,0.020311366231227753,0.16474417666403596,0.006483815216742248,0.25914277572211086,0.3732633147939267,0.4229478711521553,0.4449749725815072,0.5463195085668776,0.48138208495462476
2021-01-18,0.18529609674269695,0.02162806500158264,0.15344387596281783,0.007566480282026573,0.2520224654124677,0.38928259841127494,0.4084636499589946,0.43123609853144707,0.5487463374966283,0.4826531867438014
2021-01-19,0.1807839173663295,0.022932081572889524,0.14361753378763115,0.008507927565058412,0.24436301997624532,0.4002853042591094,0.46487591711345483,0.4274013737926154,0.5511417712999849,0.4839436056715506
2021-01-20,0.17862757096612505,0.02424342966015745,0.1350348091985867,0.009330225689967029,0.23045426164553193,0.36671104340914223,0.45728252792848867,0.46394557460187325,0.553505477032691,0.48525480558752343
2021-01-21,0.17550291390550524,0.025552104212607254,0.12750914272706249,0.010051248642995395,0.221103668163991,0.3628026679729168,0.44339434794582067,0.4488184137377575,0.5558378241299179,0.48658826783600817
2021-01-22,0.17313350862212973,0.026863656005354574,0.12088784388856733,0.010685625473204317,0.21989650551323706,0.3733621035110776,0.43295896629757347,0.4587856415265077,0.5581399746814911,0.4879453455719389
